"species","assembly_count","S_binary","S_cont","seqdef_bin","seqdef_cont","priority_bin","priority_cont","rank_bin","rank_cont","rank_shift"
"Rhinobatos_jimbaranensis",0,0,0,0.891967058919478,0.864408810240703,14.2714729427117,13.8305409638512,1,1,0
"Rhinobatos_annandalei",0,0,0,0.891967058918421,0.864408810239586,14.2714729426947,13.8305409638334,2,2,0
"Acroteriobatus_variegatus",0,0,0,0.891967058918421,0.864408810239586,14.2714729426947,13.8305409638334,2,2,0
"Rhinobatos_schlegelii",0,0,0,0.891967056817744,0.864408808020361,14.2714729090839,13.8305409283258,4,4,0
"Rhinobatos_irvinei",0,0,0,0.891967056805058,0.864408808006959,14.2714729088809,13.8305409281113,5,5,0
"Rhinobatos_rhinobatos",0,0,0,0.891967056800829,0.864408808002491,14.2714729088133,13.8305409280399,6,6,0
"Rhinobatos_lionotus",0,0,0,0.891967056794697,0.864408807996013,14.2714729087152,13.8305409279362,7,7,0
"Rhinobatos_albomaculatus",0,0,0,0.891967056790257,0.864408807991322,14.2714729086441,13.8305409278612,8,8,0
"Centrophorus_atromarginatus",0,0,0,0.886516729342674,0.849256556125528,14.1842676694828,13.5881048980084,9,9,0
"Anoxypristis_cuspidata",0,0,0,0.835033281266345,0.811600007596579,13.3605325002615,12.9856001215453,10,10,0
"Squatina_argentina",0,0,0,0.804833671239863,0.798741752555025,12.8773387398378,12.7798680408804,11,11,0
"Squatina_legnota",0,0,0,0.804833671236304,0.798741752551755,12.8773387397809,12.7798680408281,12,12,0
"Squatina_oculata",0,0,0,0.804833671230156,0.798741752546106,12.8773387396825,12.7798680407377,13,13,0
"Squatina_japonica",0,0,0,0.804833671229833,0.798741752545808,12.8773387396773,12.7798680407329,14,14,0
"Glaucostegus_granulatus",0,0,0,0.800809765342176,0.790233348515749,12.8129562454748,12.643733576252,15,15,0
"Glaucostegus_halavi",0,0,0,0.800809765342176,0.790233348515749,12.8129562454748,12.643733576252,15,15,0
"Glaucostegus_obtusus",0,0,0,0.79661634949403,0.787394753909076,12.7458615919045,12.5983160625452,17,18,1
"Pristis_pristis",0,0,0,0.792219854789643,0.76709627350586,12.6755176766343,12.2735403760938,18,23,5
"Rhynchobatus_springeri",0,0,0,0.791465215977821,0.788288433951197,12.6634434556451,12.6126149432192,19,17,-2
"Atlantoraja_castelnaui",0,0,0,0.78744424356011,0.747307056065869,12.5991078969618,11.9569128970539,20,27,7
"Squatina_armata",0,0,0,0.782082046063155,0.783995423910276,12.5133127370105,12.5439267825644,21,19,-2
"Squatina_occulta",0,0,0,0.782082046059627,0.783995423907137,12.513312736954,12.5439267825142,22,20,-2
"Sympterygia_acuta",0,0,0,0.780695489682067,0.742570200717606,12.4911278349131,11.8811232114817,23,28,5
"Carcharias_taurus",0,0,0,0.774522510335081,0.707204864976911,12.3923601653613,11.3152778396306,24,38,14
"Paratrygon_aiereba",0,0,0,0.772268722697925,0.771445371688056,12.3562995631668,12.3431259470089,25,21,-4
"Pastinachus_stellurostris",0,0,0,0.770324747385499,0.769901184094753,12.325195958168,12.318418945516,26,22,-4
"Pristis_clavata",0,0,0,0.762888591431247,0.738052377514898,12.2062174629,11.8088380402384,27,31,4
"Glaucostegus_thouin",0,0,0,0.761251190293851,0.764009209056903,12.1800190447016,12.2241473449104,28,24,-4
"Glaucostegus_typus",0,0,0,0.761251190293851,0.764009209056903,12.1800190447016,12.2241473449104,28,24,-4
"Squatina_aculeata",0,0,0,0.741354019796487,0.758291412673097,11.8616643167438,12.1326626027696,30,26,-4
"Pristis_zijsron",0,0,0,0.741014278707868,0.716935978571511,11.8562284593259,11.4709756571442,31,34,3
"Urotrygon_reticulata",0,0,0,0.731509886963904,0.741848242612724,11.7041581914225,11.8695718818036,32,29,-3
"Urotrygon_microphthalmum",0,0,0,0.731509886959725,0.74184824260911,11.7041581913556,11.8695718817458,33,30,-3
"Cephaloscyllium_silasi",0,0,0,0.721423016135145,0.651945650158927,11.5427682581623,10.4311304025428,34,46,12
"Cephaloscyllium_sarawakensis",0,0,0,0.721423016099381,0.651945650120532,11.5427682575901,10.4311304019285,35,47,12
