"taxon","sequencing_availability","seqdef_linear","seqdef_exp_auto","seqdef_exp_l5"
"taxa1",0,1,1,1
"taxa2",0,1,0.972937805340303,0.999921986583872
"taxa3",0,1,0.93853501337333,0.999709924132436
"taxa4",0,1,0.894800493316631,0.999133478624198
"taxa5",0,1,0.839203021854839,0.997566537274059
"taxa6",0,1,0.768524783499018,0.993307149075715
"taxa7",0,0.8,0.678675133042965,0.981728931535803
"taxa8",0,0.6,0.564453841244034,0.950256073191115
"taxa9",0,0.2,0.234660015234371,0.632149258360487
"taxa10",1,0,0,0
