"tree","lambda_exp","lambda_gauss","lambda_lin","rho_gauss","rho_lin","rho_bm","target_exp","target_gauss","target_lin","target_bm"
"MCC",4.8,9.8,1.9,0.95124771401825,0.931332566703941,0.712951458621224,FALSE,FALSE,TRUE,FALSE
"post_1",3.5,1.7,1.3,0.827237576552301,0.954600614932756,0.757180014404566,TRUE,TRUE,TRUE,TRUE
"post_2",4,2,1.3,0.860982735285857,0.94980854320071,0.73955433437898,TRUE,TRUE,TRUE,FALSE
"post_3",5.1,9.1,1.8,0.962628744627849,0.940488788456301,0.707808418122334,FALSE,FALSE,FALSE,FALSE
"post_4",3.3,1.7,1.3,0.839706327497556,0.951263864019577,0.742244571760273,TRUE,TRUE,TRUE,TRUE
"post_5",3.4,1.9,1.4,0.867818870953787,0.953901208705432,0.810573231202176,TRUE,TRUE,TRUE,FALSE
"post_6",3.1,1.6,1.5,0.915621250480597,0.950906584341736,0.833462028571414,TRUE,TRUE,TRUE,FALSE
"post_7",3.6,2,1.5,0.839022361082577,0.935923007090729,0.747502107423368,TRUE,TRUE,TRUE,FALSE
"post_8",3.2,1.7,1.4,0.895688539208641,0.947503871211989,0.803892439832281,TRUE,TRUE,TRUE,FALSE
"post_9",3.6,1.9,1.3,0.849834928490892,0.942878073801729,0.747093381015292,TRUE,TRUE,TRUE,FALSE
"post_10",4.9,8.8,1.8,0.963984914209828,0.946465525277823,0.697005549150406,FALSE,FALSE,FALSE,FALSE
"post_11",4.9,8.7,1.8,0.965242805032874,0.944909991281805,0.697081072164767,FALSE,FALSE,FALSE,FALSE
"post_12",3.3,1.8,1.3,0.90246949695727,0.964326248060354,0.810861861882962,TRUE,TRUE,TRUE,TRUE
"post_13",3.3,1.8,1.5,0.850682258033718,0.956280072984343,0.781769749394288,TRUE,TRUE,TRUE,TRUE
"post_14",4.8,8.7,1.8,0.95749876063644,0.931665771537228,0.718132756236199,FALSE,FALSE,FALSE,FALSE
"post_15",3.7,2,1.3,0.861564140294085,0.951639467105772,0.741075768180212,TRUE,TRUE,TRUE,FALSE
"post_16",3.7,2,1.3,0.859093492933926,0.949811926629119,0.754263681566613,TRUE,TRUE,TRUE,FALSE
